,person_id,pm_id_0,pm_id_1,pm_id_2,pm_id_3,belongs_to_datasets,count_belongs_to_datasets
27,0,221634.0,,,,0,1
22,1,309157.0,,,,0,1
24,2,1352464.0,,,,0,1
25,3,2033176.0,,,,0,1
57,4,2199852.0,,,,0,1
43,5,4762925.0,,,,0,1
55,6,5274556.0,,,,0,1
69,7,7886752.0,,,,0,1
30,8,13484299.0,,,,0,1
41,9,13783771.0,,,,0,1
80,10,14092221.0,20104403.0,,,"0,1",2
50,11,15558575.0,,,,0,1
86,12,15634563.0,34208593.0,,,"0,1",2
31,13,16975609.0,,,,0,1
38,14,17161370.0,,,,0,1
48,15,18991425.0,,,,0,1
40,16,19626656.0,,,,0,1
10,17,20216809.0,,,,0,1
64,18,20649783.0,,,,0,1
42,19,21946407.0,,,,0,1
62,20,22961398.0,,,,0,1
128,21,24448124.0,50641121.0,50641121.0,,"0,1,2",3
16,22,25692073.0,,,,0,1
67,23,27526291.0,,,,0,1
49,24,27819368.0,,,,0,1
3,25,28608066.0,,,,0,1
21,26,28756888.0,,,,0,1
33,27,32997134.0,,,,0,1
56,28,33470634.0,,,,0,1
18,29,33831564.0,,,,0,1
32,30,35719805.0,,,,0,1
73,31,37875431.0,,,,0,1
5,32,37948668.0,,,,0,1
7,33,40997757.0,,,,0,1
19,34,41131654.0,,,,0,1
51,35,42052178.0,,,,0,1
85,36,43589707.0,81133880.0,,,"0,1",2
11,37,45120081.0,,,,0,1
78,38,46253612.0,,,,0,1
14,39,47323535.0,,,,0,1
20,40,48509634.0,,,,0,1
74,41,49796612.0,,,,0,1
53,42,50311906.0,,,,0,1
44,43,51968000.0,,,,0,1
131,44,54280576.0,8814820.0,8814820.0,,"0,1,2",3
87,45,56958831.0,74373797.0,,,"0,1",2
46,46,63047517.0,,,,0,1
132,47,63725802.0,1104400.0,1104400.0,,"0,1,2",3
17,48,64406000.0,,,,0,1
58,49,65143138.0,,,,0,1
61,50,66019205.0,,,,0,1
68,51,66836068.0,,,,0,1
13,52,66937570.0,,,,0,1
34,53,67167655.0,,,,0,1
54,54,67208817.0,,,,0,1
81,55,68026248.0,45407256.0,,,"0,1",2
28,56,68267781.0,,,,0,1
75,57,69587086.0,,,,0,1
60,58,69965708.0,,,,0,1
130,59,70454270.0,72492017.0,72492017.0,,"0,1,2",3
35,60,70811987.0,,,,0,1
2,61,71236754.0,,,,0,1
26,62,71618088.0,,,,0,1
63,63,73398408.0,,,,0,1
23,64,73521474.0,,,,0,1
39,65,74077367.0,,,,0,1
66,66,76817975.0,,,,0,1
65,67,77104076.0,,,,0,1
37,68,77411181.0,,,,0,1
1,69,79526193.0,,,,0,1
45,70,80501215.0,,,,0,1
79,71,80625186.0,77667622.0,,,"0,1",2
129,72,80796147.0,65054673.0,65054673.0,,"0,1,2",3
8,73,81099003.0,,,,0,1
77,74,81680176.0,,,,0,1
52,75,85199788.0,,,,0,1
6,76,85653830.0,,,,0,1
47,77,86025410.0,,,,0,1
15,78,86286077.0,,,,0,1
82,79,86323903.0,749582.0,,,"0,1",2
9,80,87770486.0,,,,0,1
0,81,88252802.0,,,,0,1
4,82,89032650.0,,,,0,1
88,83,90398368.0,54943175.0,,,"0,1",2
59,84,93606058.0,,,,0,1
29,85,93839818.0,,,,0,1
84,86,94200862.0,12826270.0,,,"0,1",2
12,87,95851255.0,,,,0,1
76,88,96254963.0,,,,0,1
72,89,97872409.0,,,,0,1
83,90,98340749.0,21316466.0,,,"0,1",2
36,91,98974339.0,,,,0,1
70,92,99712241.0,,,,0,1
71,93,99848889.0,,,,0,1
89,94,,752599.0,,,1,1
90,95,,977838.0,,,1,1
133,96,,2773391.0,2773391.0,,"1,2",2
91,97,,2843395.0,,,1,1
92,98,,3468378.0,,,1,1
93,99,,5115045.0,,,1,1
94,100,,6033890.0,,,1,1
95,101,,6601878.0,,,1,1
134,102,,8352625.0,8352625.0,,"1,2",2
96,103,,8983459.0,,,1,1
175,104,,9612394.0,9612394.0,39819048.0,"1,2,3",3
97,105,,13570824.0,,,1,1
98,106,,13577203.0,,,1,1
176,107,,13788197.0,13788197.0,39182506.0,"1,2,3",3
135,108,,13914709.0,13914709.0,,"1,2",2
99,109,,14844648.0,,,1,1
100,110,,16184009.0,,,1,1
101,111,,18927745.0,,,1,1
102,112,,21218454.0,,,1,1
103,113,,22224188.0,,,1,1
104,114,,24362158.0,,,1,1
105,115,,25127006.0,,,1,1
136,116,,26481229.0,26481229.0,,"1,2",2
137,117,,26745937.0,26745937.0,,"1,2",2
106,118,,37159654.0,,,1,1
138,119,,38625719.0,38625719.0,,"1,2",2
177,120,,39260075.0,39260075.0,81195091.0,"1,2,3",3
107,121,,39910877.0,,,1,1
108,122,,40974871.0,,,1,1
109,123,,44801840.0,,,1,1
110,124,,48546317.0,,,1,1
139,125,,48968878.0,48968878.0,,"1,2",2
111,126,,52684928.0,,,1,1
112,127,,53661149.0,,,1,1
113,128,,55520424.0,,,1,1
114,129,,59061279.0,,,1,1
115,130,,69261935.0,,,1,1
116,131,,70230560.0,,,1,1
140,132,,70981757.0,70981757.0,,"1,2",2
117,133,,72501221.0,,,1,1
118,134,,72575886.0,,,1,1
119,135,,74812299.0,,,1,1
120,136,,82464452.0,,,1,1
121,137,,83320236.0,,,1,1
122,138,,84495051.0,,,1,1
123,139,,87412879.0,,,1,1
124,140,,93698253.0,,,1,1
178,141,,93708481.0,93708481.0,81518757.0,"1,2,3",3
125,142,,98062634.0,,,1,1
126,143,,98668396.0,,,1,1
127,144,,99478201.0,,,1,1
141,145,,,749582.0,,2,1
179,146,,,752599.0,26691577.0,"2,3",2
180,147,,,4574576.0,27553507.0,"2,3",2
142,148,,,4848189.0,,2,1
143,149,,,6601878.0,,2,1
181,150,,,6959790.0,28823146.0,"2,3",2
144,151,,,9635199.0,,2,1
145,152,,,9761940.0,,2,1
146,153,,,11730622.0,,2,1
147,154,,,12826270.0,,2,1
148,155,,,13570824.0,,2,1
182,156,,,15327577.0,47631371.0,"2,3",2
149,157,,,18361363.0,,2,1
150,158,,,18927745.0,,2,1
151,159,,,19067168.0,,2,1
183,160,,,19099241.0,98120605.0,"2,3",2
152,161,,,21316466.0,,2,1
153,162,,,22919204.0,,2,1
154,163,,,23693552.0,,2,1
155,164,,,23777770.0,,2,1
156,165,,,24362158.0,,2,1
157,166,,,25127006.0,,2,1
158,167,,,27104927.0,,2,1
159,168,,,27718918.0,,2,1
